Net,proc,Blue_Acts,Blue_Acts_Extended,Red_acts,Red_acts_Target,Red_Fsm,Green_Acts
0,0,Analyse,Analyse office_network_subnet_user_host_1,None,None,None,"[{'act': 'None', 'hostname': 'admin_network_subnet_user_host_0'}, {'act': 'None', 'hostname': 'admin_network_subnet_user_host_1'}, {'act': 'None', 'hostname': 'admin_network_subnet_user_host_2'}, {'act': 'None', 'hostname': 'admin_network_subnet_user_host_3'}, {'act': 'None', 'hostname': 'admin_network_subnet_user_host_4'}, {'act': 'None', 'hostname': 'admin_network_subnet_user_host_5'}, {'act': 'None', 'hostname': 'admin_network_subnet_user_host_6'}, {'act': 'None', 'hostname': 'admin_network_subnet_user_host_7'}, {'act': 'None', 'hostname': 'admin_network_subnet_user_host_8'}, {'act': 'None', 'hostname': 'office_network_subnet_user_host_0'}, {'act': 'None', 'hostname': 'office_network_subnet_user_host_1'}, {'act': 'None', 'hostname': 'office_network_subnet_user_host_2'}, {'act': 'None', 'hostname': 'office_network_subnet_user_host_3'}, {'act': 'None', 'hostname': 'office_network_subnet_user_host_4'}, {'act': 'None', 'hostname': 'office_network_subnet_user_host_5'}, {'act': 'None', 'hostname': 'office_network_subnet_user_host_6'}, {'act': 'None', 'hostname': 'office_network_subnet_user_host_7'}, {'act': 'None', 'hostname': 'office_network_subnet_user_host_8'}, {'act': 'None', 'hostname': 'office_network_subnet_user_host_9'}]"
0,0,Restore,Restore office_network_subnet_user_host_5,Sleep,,None,"[{'act': '[GreenLocalWork 10.0.52.61]', 'hostname': 'admin_network_subnet_user_host_0'}, {'act': '[GreenAccessService 10.0.9.252 52652]', 'hostname': 'admin_network_subnet_user_host_1'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_2'}, {'act': '[GreenLocalWork 10.0.52.125]', 'hostname': 'admin_network_subnet_user_host_3'}, {'act': '[GreenLocalWork 10.0.52.165]', 'hostname': 'admin_network_subnet_user_host_4'}, {'act': '[GreenAccessService 10.0.60.250 51923]', 'hostname': 'admin_network_subnet_user_host_5'}, {'act': '[GreenAccessService 10.0.230.253 51579]', 'hostname': 'admin_network_subnet_user_host_6'}, {'act': '[GreenLocalWork 10.0.52.46]', 'hostname': 'admin_network_subnet_user_host_7'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_8'}, {'act': '[GreenLocalWork 10.0.168.44]', 'hostname': 'office_network_subnet_user_host_0'}, {'act': '[GreenAccessService 10.0.60.254 57353]', 'hostname': 'office_network_subnet_user_host_1'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_2'}, {'act': '[GreenLocalWork 10.0.168.145]', 'hostname': 'office_network_subnet_user_host_3'}, {'act': '[GreenLocalWork 10.0.168.168]', 'hostname': 'office_network_subnet_user_host_4'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_5'}, {'act': '[GreenAccessService 10.0.52.247 57292]', 'hostname': 'office_network_subnet_user_host_6'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_7'}, {'act': '[GreenAccessService 10.0.52.253 52732]', 'hostname': 'office_network_subnet_user_host_8'}, {'act': '[GreenAccessService 10.0.60.253 55058]', 'hostname': 'office_network_subnet_user_host_9'}]"
0,0,Restore,Restore office_network_subnet_user_host_6,Sleep,,None,"[{'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_0'}, {'act': '[GreenLocalWork 10.0.52.136]', 'hostname': 'admin_network_subnet_user_host_1'}, {'act': '[GreenLocalWork 10.0.52.249]', 'hostname': 'admin_network_subnet_user_host_2'}, {'act': '[GreenLocalWork 10.0.52.125]', 'hostname': 'admin_network_subnet_user_host_3'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_4'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_5'}, {'act': '[GreenAccessService 10.0.9.254 59527]', 'hostname': 'admin_network_subnet_user_host_6'}, {'act': '[GreenLocalWork 10.0.52.46]', 'hostname': 'admin_network_subnet_user_host_7'}, {'act': '[GreenAccessService 10.0.99.254 53793]', 'hostname': 'admin_network_subnet_user_host_8'}, {'act': '[GreenLocalWork 10.0.168.44]', 'hostname': 'office_network_subnet_user_host_0'}, {'act': '[GreenAccessService 10.0.60.252 59375]', 'hostname': 'office_network_subnet_user_host_1'}, {'act': '[GreenLocalWork 10.0.168.62]', 'hostname': 'office_network_subnet_user_host_2'}, {'act': '[GreenLocalWork 10.0.168.145]', 'hostname': 'office_network_subnet_user_host_3'}, {'act': '[GreenLocalWork 10.0.168.168]', 'hostname': 'office_network_subnet_user_host_4'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_5'}, {'act': '[GreenAccessService 10.0.52.247 55117]', 'hostname': 'office_network_subnet_user_host_6'}, {'act': '[GreenLocalWork 10.0.168.47]', 'hostname': 'office_network_subnet_user_host_7'}, {'act': '[GreenLocalWork 10.0.168.151]', 'hostname': 'office_network_subnet_user_host_8'}, {'act': '[GreenAccessService 10.0.52.247 59018]', 'hostname': 'office_network_subnet_user_host_9'}]"
0,0,Analyse,Analyse office_network_subnet_user_host_4,PrivilegeEscalate,,None,"[{'act': '[GreenAccessService 10.0.52.248 59518]', 'hostname': 'admin_network_subnet_user_host_0'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_1'}, {'act': '[GreenLocalWork 10.0.52.249]', 'hostname': 'admin_network_subnet_user_host_2'}, {'act': '[GreenLocalWork 10.0.52.125]', 'hostname': 'admin_network_subnet_user_host_3'}, {'act': '[GreenLocalWork 10.0.52.165]', 'hostname': 'admin_network_subnet_user_host_4'}, {'act': '[GreenAccessService 10.0.99.254 53104]', 'hostname': 'admin_network_subnet_user_host_5'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_6'}, {'act': '[GreenLocalWork 10.0.52.46]', 'hostname': 'admin_network_subnet_user_host_7'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_8'}, {'act': '[GreenAccessService 10.0.230.253 51016]', 'hostname': 'office_network_subnet_user_host_0'}, {'act': '[GreenLocalWork 10.0.168.95]', 'hostname': 'office_network_subnet_user_host_1'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_2'}, {'act': '[GreenAccessService 10.0.52.253 55537]', 'hostname': 'office_network_subnet_user_host_3'}, {'act': '[GreenLocalWork 10.0.168.168]', 'hostname': 'office_network_subnet_user_host_4'}, {'act': '[GreenAccessService 10.0.52.250 57489]', 'hostname': 'office_network_subnet_user_host_5'}, {'act': '[GreenLocalWork 10.0.168.76]', 'hostname': 'office_network_subnet_user_host_6'}, {'act': '[GreenLocalWork 10.0.168.47]', 'hostname': 'office_network_subnet_user_host_7'}, {'act': '[GreenLocalWork 10.0.168.151]', 'hostname': 'office_network_subnet_user_host_8'}, {'act': '[GreenLocalWork 10.0.168.118]', 'hostname': 'office_network_subnet_user_host_9'}]"
0,0,AllowTrafficZone,AllowTrafficZone office_network_subnet (10.0.168.0/24) <- admin_network_subnet (10.0.52.0/24),DiscoverRemoteSystems,,"{'hosts': ['office_network_subnet_user_host_0'], 'state': ['R']}","[{'act': '[GreenAccessService 10.0.52.252 56436]', 'hostname': 'admin_network_subnet_user_host_0'}, {'act': '[GreenLocalWork 10.0.52.136]', 'hostname': 'admin_network_subnet_user_host_1'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_2'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_3'}, {'act': '[GreenLocalWork 10.0.52.165]', 'hostname': 'admin_network_subnet_user_host_4'}, {'act': '[GreenAccessService 10.0.52.252 52915]', 'hostname': 'admin_network_subnet_user_host_5'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_6'}, {'act': '[GreenAccessService 10.0.9.252 57085]', 'hostname': 'admin_network_subnet_user_host_7'}, {'act': '[GreenLocalWork 10.0.52.254]', 'hostname': 'admin_network_subnet_user_host_8'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_0'}, {'act': '[GreenLocalWork 10.0.168.95]', 'hostname': 'office_network_subnet_user_host_1'}, {'act': '[GreenAccessService 10.0.52.248 56611]', 'hostname': 'office_network_subnet_user_host_2'}, {'act': '[GreenAccessService 10.0.52.252 52781]', 'hostname': 'office_network_subnet_user_host_3'}, {'act': '[GreenAccessService 10.0.60.252 52980]', 'hostname': 'office_network_subnet_user_host_4'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_5'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_6'}, {'act': '[GreenLocalWork 10.0.168.47]', 'hostname': 'office_network_subnet_user_host_7'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_8'}, {'act': '[GreenAccessService 10.0.52.251 54829]', 'hostname': 'office_network_subnet_user_host_9'}]"
0,0,AllowTrafficZone,AllowTrafficZone office_network_subnet (10.0.168.0/24) <- contractor_network_subnet (10.0.9.0/24),Sleep,,"{'hosts': [], 'state': []}","[{'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_0'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_1'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_2'}, {'act': '[GreenLocalWork 10.0.52.125]', 'hostname': 'admin_network_subnet_user_host_3'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_4'}, {'act': '[GreenLocalWork 10.0.52.239]', 'hostname': 'admin_network_subnet_user_host_5'}, {'act': '[GreenLocalWork 10.0.52.171]', 'hostname': 'admin_network_subnet_user_host_6'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_7'}, {'act': '[GreenLocalWork 10.0.52.254]', 'hostname': 'admin_network_subnet_user_host_8'}, {'act': '[GreenLocalWork 10.0.168.44]', 'hostname': 'office_network_subnet_user_host_0'}, {'act': '[GreenLocalWork 10.0.168.95]', 'hostname': 'office_network_subnet_user_host_1'}, {'act': '[GreenAccessService 10.0.52.251 55825]', 'hostname': 'office_network_subnet_user_host_2'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_3'}, {'act': '[GreenAccessService 10.0.9.253 50769]', 'hostname': 'office_network_subnet_user_host_4'}, {'act': '[GreenLocalWork 10.0.168.240]', 'hostname': 'office_network_subnet_user_host_5'}, {'act': '[GreenLocalWork 10.0.168.76]', 'hostname': 'office_network_subnet_user_host_6'}, {'act': '[GreenAccessService 10.0.52.248 50246]', 'hostname': 'office_network_subnet_user_host_7'}, {'act': '[GreenAccessService 10.0.60.254 52695]', 'hostname': 'office_network_subnet_user_host_8'}, {'act': '[GreenLocalWork 10.0.168.118]', 'hostname': 'office_network_subnet_user_host_9'}]"
0,0,DeployDecoy,DeployDecoy office_network_subnet_user_host_7,Sleep,,None,"[{'act': '[GreenLocalWork 10.0.52.61]', 'hostname': 'admin_network_subnet_user_host_0'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_1'}, {'act': '[GreenLocalWork 10.0.52.249]', 'hostname': 'admin_network_subnet_user_host_2'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_3'}, {'act': '[GreenLocalWork 10.0.52.165]', 'hostname': 'admin_network_subnet_user_host_4'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_5'}, {'act': '[GreenLocalWork 10.0.52.171]', 'hostname': 'admin_network_subnet_user_host_6'}, {'act': '[GreenAccessService 10.0.23.254 58214]', 'hostname': 'admin_network_subnet_user_host_7'}, {'act': '[GreenAccessService 10.0.52.253 52668]', 'hostname': 'admin_network_subnet_user_host_8'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_0'}, {'act': '[GreenLocalWork 10.0.168.95]', 'hostname': 'office_network_subnet_user_host_1'}, {'act': '[GreenAccessService 10.0.23.254 55164]', 'hostname': 'office_network_subnet_user_host_2'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_3'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_4'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_5'}, {'act': '[GreenLocalWork 10.0.168.76]', 'hostname': 'office_network_subnet_user_host_6'}, {'act': '[GreenAccessService 10.0.52.250 51783]', 'hostname': 'office_network_subnet_user_host_7'}, {'act': '[GreenAccessService 10.0.52.253 49648]', 'hostname': 'office_network_subnet_user_host_8'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_9'}]"
0,0,Restore,Restore office_network_subnet_user_host_4,StealthServiceDiscovery,admin_network_subnet_server_host_1,None,"[{'act': '[GreenLocalWork 10.0.52.61]', 'hostname': 'admin_network_subnet_user_host_0'}, {'act': '[GreenLocalWork 10.0.52.136]', 'hostname': 'admin_network_subnet_user_host_1'}, {'act': '[GreenAccessService 10.0.52.247 50951]', 'hostname': 'admin_network_subnet_user_host_2'}, {'act': '[GreenAccessService 10.0.60.251 51870]', 'hostname': 'admin_network_subnet_user_host_3'}, {'act': '[GreenLocalWork 10.0.52.165]', 'hostname': 'admin_network_subnet_user_host_4'}, {'act': '[GreenLocalWork 10.0.52.239]', 'hostname': 'admin_network_subnet_user_host_5'}, {'act': '[GreenAccessService 10.0.52.253 54120]', 'hostname': 'admin_network_subnet_user_host_6'}, {'act': '[GreenAccessService 10.0.52.252 54390]', 'hostname': 'admin_network_subnet_user_host_7'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_8'}, {'act': '[GreenLocalWork 10.0.168.44]', 'hostname': 'office_network_subnet_user_host_0'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_1'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_2'}, {'act': '[GreenLocalWork 10.0.168.145]', 'hostname': 'office_network_subnet_user_host_3'}, {'act': '[GreenLocalWork 10.0.168.168]', 'hostname': 'office_network_subnet_user_host_4'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_5'}, {'act': '[GreenLocalWork 10.0.168.76]', 'hostname': 'office_network_subnet_user_host_6'}, {'act': '[GreenLocalWork 10.0.168.47]', 'hostname': 'office_network_subnet_user_host_7'}, {'act': '[GreenLocalWork 10.0.168.151]', 'hostname': 'office_network_subnet_user_host_8'}, {'act': '[GreenAccessService 10.0.230.253 55713]', 'hostname': 'office_network_subnet_user_host_9'}]"
0,0,Remove,Remove office_network_subnet_user_host_6,Sleep,,"{'hosts': ['admin_network_subnet_server_host_1'], 'state': ['S']}","[{'act': '[GreenAccessService 10.0.60.254 51265]', 'hostname': 'admin_network_subnet_user_host_0'}, {'act': '[GreenAccessService 10.0.64.254 56816]', 'hostname': 'admin_network_subnet_user_host_1'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_2'}, {'act': '[GreenLocalWork 10.0.52.125]', 'hostname': 'admin_network_subnet_user_host_3'}, {'act': '[GreenAccessService 10.0.23.253 56065]', 'hostname': 'admin_network_subnet_user_host_4'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_5'}, {'act': '[GreenLocalWork 10.0.52.171]', 'hostname': 'admin_network_subnet_user_host_6'}, {'act': '[GreenAccessService 10.0.52.253 51594]', 'hostname': 'admin_network_subnet_user_host_7'}, {'act': '[GreenLocalWork 10.0.52.254]', 'hostname': 'admin_network_subnet_user_host_8'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_0'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_1'}, {'act': '[GreenLocalWork 10.0.168.62]', 'hostname': 'office_network_subnet_user_host_2'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_3'}, {'act': '[GreenLocalWork 10.0.168.168]', 'hostname': 'office_network_subnet_user_host_4'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_5'}, {'act': '[GreenLocalWork 10.0.168.76]', 'hostname': 'office_network_subnet_user_host_6'}, {'act': '[GreenLocalWork 10.0.168.47]', 'hostname': 'office_network_subnet_user_host_7'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_8'}, {'act': '[GreenAccessService 10.0.230.254 54131]', 'hostname': 'office_network_subnet_user_host_9'}]"
0,0,Analyse,Analyse office_network_subnet_server_host_0,Sleep,,None,"[{'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_0'}, {'act': '[GreenLocalWork 10.0.52.136]', 'hostname': 'admin_network_subnet_user_host_1'}, {'act': '[GreenAccessService 10.0.9.253 56620]', 'hostname': 'admin_network_subnet_user_host_2'}, {'act': '[GreenLocalWork 10.0.52.125]', 'hostname': 'admin_network_subnet_user_host_3'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_4'}, {'act': '[GreenAccessService 10.0.52.250 49311]', 'hostname': 'admin_network_subnet_user_host_5'}, {'act': '[GreenAccessService 10.0.60.252 59328]', 'hostname': 'admin_network_subnet_user_host_6'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_7'}, {'act': '[Sleep]', 'hostname': 'admin_network_subnet_user_host_8'}, {'act': '[GreenAccessService 10.0.52.252 58905]', 'hostname': 'office_network_subnet_user_host_0'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_1'}, {'act': '[GreenAccessService 10.0.60.253 52613]', 'hostname': 'office_network_subnet_user_host_2'}, {'act': '[GreenAccessService 10.0.9.253 52680]', 'hostname': 'office_network_subnet_user_host_3'}, {'act': '[GreenAccessService 10.0.52.247 54575]', 'hostname': 'office_network_subnet_user_host_4'}, {'act': '[GreenLocalWork 10.0.168.240]', 'hostname': 'office_network_subnet_user_host_5'}, {'act': '[GreenLocalWork 10.0.168.76]', 'hostname': 'office_network_subnet_user_host_6'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_7'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_8'}, {'act': '[Sleep]', 'hostname': 'office_network_subnet_user_host_9'}]"
